DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CE,01/10/2009,14, ,20
DATASET_01_2009_2017_CE,01/10/2009,15,0.48,25
DATASET_01_2009_2017_CE,01/10/2009,16,0.48,31
DATASET_01_2009_2017_CE,01/10/2009,17,0.46,38
DATASET_01_2009_2017_CE,01/10/2009,18,0.48,39
DATASET_01_2009_2017_CE,01/10/2009,19,0.5,39
DATASET_01_2009_2017_CE,01/10/2009,20,0.54,36
DATASET_01_2009_2017_CE,01/10/2009,21,0.58,31
DATASET_01_2009_2017_CE,01/10/2009,22,0.6,36
DATASET_01_2009_2017_CE,01/10/2009,23,0.63,37
DATASET_01_2009_2017_CE,01/10/2009,24,0.64,35
DATASET_01_2009_2017_CE,02/10/2009,1,0.68,35
DATASET_01_2009_2017_CE,02/10/2009,2,0.69,35
DATASET_01_2009_2017_CE,02/10/2009,3,0.68,34
DATASET_01_2009_2017_CE,02/10/2009,4,0.64,34
DATASET_01_2009_2017_CE,02/10/2009,5,0.64,34
DATASET_01_2009_2017_CE,02/10/2009,6,0.64,32
DATASET_01_2009_2017_CE,02/10/2009,7,0.65,30
DATASET_01_2009_2017_CE,02/10/2009,8,0.7,35
DATASET_01_2009_2017_CE,02/10/2009,9,0.69,38
DATASET_01_2009_2017_CE,02/10/2009,10,0.68,33
DATASET_01_2009_2017_CE,02/10/2009,11, ,29
DATASET_01_2009_2017_CE,02/10/2009,12, , 
DATASET_01_2009_2017_CE,04/10/2009,13,0.24,9
DATASET_01_2009_2017_CE,04/10/2009,14,0.23,9
DATASET_01_2009_2017_CE,04/10/2009,15,0.21,10
DATASET_01_2009_2017_CE,04/10/2009,16,0.21,15
DATASET_01_2009_2017_CE,04/10/2009,17,0.23,21
DATASET_01_2009_2017_CE,04/10/2009,18,0.25,27
DATASET_01_2009_2017_CE,04/10/2009,19,0.29,32
DATASET_01_2009_2017_CE,04/10/2009,20,0.35,37
DATASET_01_2009_2017_CE,04/10/2009,21,0.41,37
DATASET_01_2009_2017_CE,04/10/2009,22,0.45,32
DATASET_01_2009_2017_CE,04/10/2009,23,0.49,28
DATASET_01_2009_2017_CE,04/10/2009,24,0.51,29
DATASET_01_2009_2017_CE,05/10/2009,1,0.51,22
DATASET_01_2009_2017_CE,05/10/2009,2,0.5,20
DATASET_01_2009_2017_CE,05/10/2009,3,0.46,19
DATASET_01_2009_2017_CE,05/10/2009,4,0.4,19
DATASET_01_2009_2017_CE,05/10/2009,5,0.34,14
DATASET_01_2009_2017_CE,05/10/2009,6,0.3,14
DATASET_01_2009_2017_CE,05/10/2009,7,0.29,25
DATASET_01_2009_2017_CE,05/10/2009,8,0.34,35
DATASET_01_2009_2017_CE,05/10/2009,9,0.44,28
DATASET_01_2009_2017_CE,05/10/2009,10,0.51,22
DATASET_01_2009_2017_CE,05/10/2009,11,0.59,20
DATASET_01_2009_2017_CE,05/10/2009,12,0.63,19
DATASET_01_2009_2017_CE,05/10/2009,13,0.69,23
DATASET_01_2009_2017_CE,05/10/2009,14,0.73,22
DATASET_01_2009_2017_CE,05/10/2009,15,0.74,20
DATASET_01_2009_2017_CE,05/10/2009,16,0.7,21
DATASET_01_2009_2017_CE,05/10/2009,17,0.63,22
DATASET_01_2009_2017_CE,05/10/2009,18,0.6,32
DATASET_01_2009_2017_CE,05/10/2009,19,0.6,63
DATASET_01_2009_2017_CE,05/10/2009,20,0.64,77
DATASET_01_2009_2017_CE,05/10/2009,21,0.69,48
DATASET_01_2009_2017_CE,05/10/2009,22,0.76,47
DATASET_01_2009_2017_CE,05/10/2009,23,0.76,39
DATASET_01_2009_2017_CE,05/10/2009,24,0.75,31
DATASET_01_2009_2017_CE,06/10/2009,1,0.73,28
DATASET_01_2009_2017_CE,06/10/2009,2,0.66,24
DATASET_01_2009_2017_CE,06/10/2009,3,0.58,12
DATASET_01_2009_2017_CE,06/10/2009,4,0.49,12
DATASET_01_2009_2017_CE,06/10/2009,5,0.36,8
DATASET_01_2009_2017_CE,06/10/2009,6,0.23,13
DATASET_01_2009_2017_CE,06/10/2009,7,0.19,21
DATASET_01_2009_2017_CE,06/10/2009,8,0.19,26
DATASET_01_2009_2017_CE,06/10/2009,9,0.24,30
DATASET_01_2009_2017_CE,06/10/2009,10,0.3,37
DATASET_01_2009_2017_CE,06/10/2009,11,0.35,31
DATASET_01_2009_2017_CE,06/10/2009,12,0.39,27
DATASET_01_2009_2017_CE,06/10/2009,13,0.41,24
DATASET_01_2009_2017_CE,06/10/2009,14,0.44,22
DATASET_01_2009_2017_CE,06/10/2009,15,0.46,23
DATASET_01_2009_2017_CE,06/10/2009,16,0.45,23
DATASET_01_2009_2017_CE,06/10/2009,17,0.4,23
DATASET_01_2009_2017_CE,06/10/2009,18,0.36,29
DATASET_01_2009_2017_CE,06/10/2009,19,0.36,30
DATASET_01_2009_2017_CE,06/10/2009,20,0.38,32
DATASET_01_2009_2017_CE,06/10/2009,21,0.4,34
DATASET_01_2009_2017_CE,06/10/2009,22,0.43,32
DATASET_01_2009_2017_CE,06/10/2009,23,0.43,28
DATASET_01_2009_2017_CE,06/10/2009,24,0.44,30
DATASET_01_2009_2017_CE,07/10/2009,1,0.44,30
DATASET_01_2009_2017_CE,07/10/2009,2,0.43,31
DATASET_01_2009_2017_CE,07/10/2009,3,0.39,32
DATASET_01_2009_2017_CE,07/10/2009,4,0.35,22
DATASET_01_2009_2017_CE,07/10/2009,5,0.3,19
DATASET_01_2009_2017_CE,07/10/2009,6,0.26,24
DATASET_01_2009_2017_CE,07/10/2009,7,0.26,34
DATASET_01_2009_2017_CE,07/10/2009,8,0.31,41
DATASET_01_2009_2017_CE,07/10/2009,9,0.38,40
DATASET_01_2009_2017_CE,07/10/2009,10,0.41,38
DATASET_01_2009_2017_CE,07/10/2009,11,0.45,31
DATASET_01_2009_2017_CE,07/10/2009,12,0.48,26
DATASET_01_2009_2017_CE,07/10/2009,13,0.51,25
DATASET_01_2009_2017_CE,07/10/2009,14,0.54,23
DATASET_01_2009_2017_CE,07/10/2009,15,0.53,25
DATASET_01_2009_2017_CE,07/10/2009,16,0.46,23
DATASET_01_2009_2017_CE,07/10/2009,17,0.4,25
DATASET_01_2009_2017_CE,07/10/2009,18,0.38,32
DATASET_01_2009_2017_CE,07/10/2009,19,0.38,33
DATASET_01_2009_2017_CE,07/10/2009,20,0.4,34
DATASET_01_2009_2017_CE,07/10/2009,21,0.43,36
DATASET_01_2009_2017_CE,07/10/2009,22,0.45,40
DATASET_01_2009_2017_CE,07/10/2009,23,0.5,41
DATASET_01_2009_2017_CE,07/10/2009,24,0.55,40
DATASET_01_2009_2017_CE,08/10/2009,1,0.58,35
DATASET_01_2009_2017_CE,08/10/2009,2,0.59,38
DATASET_01_2009_2017_CE,08/10/2009,3,0.56,27
DATASET_01_2009_2017_CE,08/10/2009,4,0.51,24
DATASET_01_2009_2017_CE,08/10/2009,5,0.54,36
DATASET_01_2009_2017_CE,08/10/2009,6,0.58,37
DATASET_01_2009_2017_CE,08/10/2009,7,0.59,37
DATASET_01_2009_2017_CE,08/10/2009,8,0.6,43
DATASET_01_2009_2017_CE,08/10/2009,9,0.63,45
DATASET_01_2009_2017_CE,08/10/2009,10,0.61,26
DATASET_01_2009_2017_CE,08/10/2009,11,0.63,25
DATASET_01_2009_2017_CE,08/10/2009,12,0.64,25
DATASET_01_2009_2017_CE,08/10/2009,13,0.59,27
DATASET_01_2009_2017_CE,08/10/2009,14,0.51,25
DATASET_01_2009_2017_CE,08/10/2009,15,0.45,23
DATASET_01_2009_2017_CE,08/10/2009,16,0.39,26
DATASET_01_2009_2017_CE,08/10/2009,17,0.35,29
DATASET_01_2009_2017_CE,08/10/2009,18,0.36,32
DATASET_01_2009_2017_CE,08/10/2009,19,0.38,36
DATASET_01_2009_2017_CE,08/10/2009,20,0.41,34
DATASET_01_2009_2017_CE,08/10/2009,21,0.45,32
DATASET_01_2009_2017_CE,08/10/2009,22,0.48,29
DATASET_01_2009_2017_CE,08/10/2009,23,0.49,28
DATASET_01_2009_2017_CE,08/10/2009,24,0.5,24
DATASET_01_2009_2017_CE,09/10/2009,1,0.49,20
DATASET_01_2009_2017_CE,09/10/2009,2,0.45,20
DATASET_01_2009_2017_CE,09/10/2009,3,0.41,18
DATASET_01_2009_2017_CE,09/10/2009,4,0.36,17
DATASET_01_2009_2017_CE,09/10/2009,5,0.3,13
DATASET_01_2009_2017_CE,09/10/2009,6,0.26,15
DATASET_01_2009_2017_CE,09/10/2009,7,0.25,20
DATASET_01_2009_2017_CE,09/10/2009,8,0.25,22
DATASET_01_2009_2017_CE,09/10/2009,9,0.26, 
DATASET_01_2009_2017_CE,09/10/2009,10,0.28, 
DATASET_01_2009_2017_CE,09/10/2009,11,0.29, 
DATASET_01_2009_2017_CE,09/10/2009,12,0.31, 
DATASET_01_2009_2017_CE,12/10/2009,13,0.2,14
DATASET_01_2009_2017_CE,12/10/2009,14,0.2,15
DATASET_01_2009_2017_CE,12/10/2009,15,0.2,16
DATASET_01_2009_2017_CE,12/10/2009,16,0.21,21
DATASET_01_2009_2017_CE,12/10/2009,17,0.23,21
DATASET_01_2009_2017_CE,12/10/2009,18,0.24,23
DATASET_01_2009_2017_CE,12/10/2009,19,0.28,27
DATASET_01_2009_2017_CE,12/10/2009,20,0.33,36
DATASET_01_2009_2017_CE,12/10/2009,21,0.39,42
DATASET_01_2009_2017_CE,12/10/2009,22,0.43,34
DATASET_01_2009_2017_CE,12/10/2009,23,0.45,28
DATASET_01_2009_2017_CE,12/10/2009,24,0.46,30
DATASET_01_2009_2017_CE,13/10/2009,1,0.46,21
DATASET_01_2009_2017_CE,13/10/2009,2,0.45,18
DATASET_01_2009_2017_CE,13/10/2009,3,0.41,13
DATASET_01_2009_2017_CE,13/10/2009,4,0.35,10
DATASET_01_2009_2017_CE,13/10/2009,5,0.28,11
DATASET_01_2009_2017_CE,13/10/2009,6,0.24,12
DATASET_01_2009_2017_CE,13/10/2009,7,0.23,19
DATASET_01_2009_2017_CE,13/10/2009,8,0.24,24
DATASET_01_2009_2017_CE,13/10/2009,9,0.26,24
DATASET_01_2009_2017_CE,13/10/2009,10,0.3,33
DATASET_01_2009_2017_CE,13/10/2009,11,0.34,30
DATASET_01_2009_2017_CE,13/10/2009,12,0.38,29
DATASET_01_2009_2017_CE,13/10/2009,13,0.41,30
DATASET_01_2009_2017_CE,13/10/2009,14,0.44,31
DATASET_01_2009_2017_CE,13/10/2009,15,0.45,29
DATASET_01_2009_2017_CE,13/10/2009,16,0.44,35
DATASET_01_2009_2017_CE,13/10/2009,17,0.44,37
DATASET_01_2009_2017_CE,13/10/2009,18,0.46,45
DATASET_01_2009_2017_CE,13/10/2009,19,0.49,47
DATASET_01_2009_2017_CE,13/10/2009,20,0.51,39
DATASET_01_2009_2017_CE,13/10/2009,21,0.53,26
DATASET_01_2009_2017_CE,13/10/2009,22,0.53,22
DATASET_01_2009_2017_CE,13/10/2009,23,0.51,21
DATASET_01_2009_2017_CE,13/10/2009,24,0.49,19
DATASET_01_2009_2017_CE,14/10/2009,1,0.44,10
DATASET_01_2009_2017_CE,14/10/2009,2,0.36,11
DATASET_01_2009_2017_CE,14/10/2009,3,0.29,7
DATASET_01_2009_2017_CE,14/10/2009,4,0.23,9
DATASET_01_2009_2017_CE,14/10/2009,5,0.18,12
DATASET_01_2009_2017_CE,14/10/2009,6,0.15,19
DATASET_01_2009_2017_CE,14/10/2009,7,0.15,33
DATASET_01_2009_2017_CE,14/10/2009,8,0.21,41
DATASET_01_2009_2017_CE,14/10/2009,9,0.41,45
DATASET_01_2009_2017_CE,14/10/2009,10,0.55,46
DATASET_01_2009_2017_CE,14/10/2009,11,0.61, 
DATASET_01_2009_2017_CE,14/10/2009,12,0.7, 
DATASET_01_2009_2017_CE,14/10/2009,13,0.82, 
DATASET_01_2009_2017_CE,14/10/2009,14,0.92,27
DATASET_01_2009_2017_CE,14/10/2009,15,0.94,22
DATASET_01_2009_2017_CE,14/10/2009,16,0.88,20
DATASET_01_2009_2017_CE,14/10/2009,17,0.62,22
DATASET_01_2009_2017_CE,14/10/2009,18,0.48,26
DATASET_01_2009_2017_CE,14/10/2009,19,0.5,28
DATASET_01_2009_2017_CE,14/10/2009,20,0.51,32
DATASET_01_2009_2017_CE,14/10/2009,21,0.51,33
DATASET_01_2009_2017_CE,14/10/2009,22,0.5,34
DATASET_01_2009_2017_CE,14/10/2009,23,0.53,35
DATASET_01_2009_2017_CE,14/10/2009,24,0.53,23
DATASET_01_2009_2017_CE,15/10/2009,1,0.53,18
