DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CO,01/10/2009,14, ,27
DATASET_01_2009_2017_CO,01/10/2009,15, ,30
DATASET_01_2009_2017_CO,01/10/2009,16, ,32
DATASET_01_2009_2017_CO,01/10/2009,17, ,31
DATASET_01_2009_2017_CO,01/10/2009,18, ,33
DATASET_01_2009_2017_CO,01/10/2009,19, ,35
DATASET_01_2009_2017_CO,01/10/2009,20, ,32
DATASET_01_2009_2017_CO,01/10/2009,21, ,34
DATASET_01_2009_2017_CO,01/10/2009,22, ,33
DATASET_01_2009_2017_CO,01/10/2009,23, ,34
DATASET_01_2009_2017_CO,01/10/2009,24, ,32
DATASET_01_2009_2017_CO,02/10/2009,1, ,30
DATASET_01_2009_2017_CO,02/10/2009,2, ,32
DATASET_01_2009_2017_CO,02/10/2009,3, ,24
DATASET_01_2009_2017_CO,02/10/2009,4, ,18
DATASET_01_2009_2017_CO,02/10/2009,5, ,20
DATASET_01_2009_2017_CO,02/10/2009,6, ,26
DATASET_01_2009_2017_CO,02/10/2009,7, ,37
DATASET_01_2009_2017_CO,02/10/2009,8, ,42
DATASET_01_2009_2017_CO,02/10/2009,9, ,37
DATASET_01_2009_2017_CO,02/10/2009,10, ,39
DATASET_01_2009_2017_CO,02/10/2009,11, ,35
DATASET_01_2009_2017_CO,02/10/2009,12, ,24
DATASET_01_2009_2017_CO,04/10/2009,13, ,6
DATASET_01_2009_2017_CO,04/10/2009,14, ,7
DATASET_01_2009_2017_CO,04/10/2009,15, ,11
DATASET_01_2009_2017_CO,04/10/2009,16, ,15
DATASET_01_2009_2017_CO,04/10/2009,17, ,22
DATASET_01_2009_2017_CO,04/10/2009,18, ,24
DATASET_01_2009_2017_CO,04/10/2009,19, ,28
DATASET_01_2009_2017_CO,04/10/2009,20, ,27
DATASET_01_2009_2017_CO,04/10/2009,21, ,28
DATASET_01_2009_2017_CO,04/10/2009,22, ,24
DATASET_01_2009_2017_CO,04/10/2009,23, ,22
DATASET_01_2009_2017_CO,04/10/2009,24, ,21
DATASET_01_2009_2017_CO,05/10/2009,1, ,21
DATASET_01_2009_2017_CO,05/10/2009,2, ,19
DATASET_01_2009_2017_CO,05/10/2009,3, ,17
DATASET_01_2009_2017_CO,05/10/2009,4, ,11
DATASET_01_2009_2017_CO,05/10/2009,5, ,12
DATASET_01_2009_2017_CO,05/10/2009,6, ,19
DATASET_01_2009_2017_CO,05/10/2009,7, ,35
DATASET_01_2009_2017_CO,05/10/2009,8, ,37
DATASET_01_2009_2017_CO,05/10/2009,9, ,37
DATASET_01_2009_2017_CO,05/10/2009,10, ,38
DATASET_01_2009_2017_CO,05/10/2009,11, ,37
DATASET_01_2009_2017_CO,05/10/2009,12, ,36
DATASET_01_2009_2017_CO,05/10/2009,13, ,38
DATASET_01_2009_2017_CO,05/10/2009,14, ,36
DATASET_01_2009_2017_CO,05/10/2009,15, ,39
DATASET_01_2009_2017_CO,05/10/2009,16, ,43
DATASET_01_2009_2017_CO,05/10/2009,17, ,46
DATASET_01_2009_2017_CO,05/10/2009,18, ,48
DATASET_01_2009_2017_CO,05/10/2009,19, ,45
DATASET_01_2009_2017_CO,05/10/2009,20, ,45
DATASET_01_2009_2017_CO,05/10/2009,21, ,45
DATASET_01_2009_2017_CO,05/10/2009,22, ,42
DATASET_01_2009_2017_CO,05/10/2009,23, ,40
DATASET_01_2009_2017_CO,05/10/2009,24, ,34
DATASET_01_2009_2017_CO,06/10/2009,1, ,19
DATASET_01_2009_2017_CO,06/10/2009,2, ,17
DATASET_01_2009_2017_CO,06/10/2009,3, ,20
DATASET_01_2009_2017_CO,06/10/2009,4, ,41
DATASET_01_2009_2017_CO,06/10/2009,5, ,60
DATASET_01_2009_2017_CO,06/10/2009,6, ,62
DATASET_01_2009_2017_CO,06/10/2009,7, ,38
DATASET_01_2009_2017_CO,06/10/2009,8, ,38
DATASET_01_2009_2017_CO,06/10/2009,9, ,41
DATASET_01_2009_2017_CO,06/10/2009,10, ,40
DATASET_01_2009_2017_CO,06/10/2009,11, ,42
DATASET_01_2009_2017_CO,06/10/2009,12, ,37
DATASET_01_2009_2017_CO,06/10/2009,13, ,40
DATASET_01_2009_2017_CO,06/10/2009,14, ,34
DATASET_01_2009_2017_CO,06/10/2009,15, ,31
DATASET_01_2009_2017_CO,06/10/2009,16, ,34
DATASET_01_2009_2017_CO,06/10/2009,17, ,36
DATASET_01_2009_2017_CO,06/10/2009,18, ,42
DATASET_01_2009_2017_CO,06/10/2009,19, ,43
DATASET_01_2009_2017_CO,06/10/2009,20, ,39
DATASET_01_2009_2017_CO,06/10/2009,21, ,34
DATASET_01_2009_2017_CO,06/10/2009,22, ,36
DATASET_01_2009_2017_CO,06/10/2009,23, ,33
DATASET_01_2009_2017_CO,06/10/2009,24, ,33
DATASET_01_2009_2017_CO,07/10/2009,1, ,32
DATASET_01_2009_2017_CO,07/10/2009,2, ,31
DATASET_01_2009_2017_CO,07/10/2009,3, ,29
DATASET_01_2009_2017_CO,07/10/2009,4, ,27
DATASET_01_2009_2017_CO,07/10/2009,5, ,25
DATASET_01_2009_2017_CO,07/10/2009,6, ,27
DATASET_01_2009_2017_CO,07/10/2009,7, ,33
DATASET_01_2009_2017_CO,07/10/2009,8, , 
DATASET_01_2009_2017_CO,07/10/2009,9, , 
DATASET_01_2009_2017_CO,07/10/2009,10, , 
DATASET_01_2009_2017_CO,07/10/2009,11, , 
DATASET_01_2009_2017_CO,07/10/2009,12, , 
DATASET_01_2009_2017_CO,07/10/2009,13, ,43
DATASET_01_2009_2017_CO,07/10/2009,14, ,41
DATASET_01_2009_2017_CO,07/10/2009,15, ,37
DATASET_01_2009_2017_CO,07/10/2009,16, ,37
DATASET_01_2009_2017_CO,07/10/2009,17, ,45
DATASET_01_2009_2017_CO,07/10/2009,18, ,48
DATASET_01_2009_2017_CO,07/10/2009,19, ,52
DATASET_01_2009_2017_CO,07/10/2009,20, ,44
DATASET_01_2009_2017_CO,07/10/2009,21, ,39
DATASET_01_2009_2017_CO,07/10/2009,22, ,33
DATASET_01_2009_2017_CO,07/10/2009,23, ,33
DATASET_01_2009_2017_CO,07/10/2009,24, ,31
DATASET_01_2009_2017_CO,08/10/2009,1, ,34
DATASET_01_2009_2017_CO,08/10/2009,2, ,29
DATASET_01_2009_2017_CO,08/10/2009,3, ,17
DATASET_01_2009_2017_CO,08/10/2009,4, ,23
DATASET_01_2009_2017_CO,08/10/2009,5, ,33
DATASET_01_2009_2017_CO,08/10/2009,6, ,32
DATASET_01_2009_2017_CO,08/10/2009,7, ,36
DATASET_01_2009_2017_CO,08/10/2009,8, ,44
DATASET_01_2009_2017_CO,08/10/2009,9, ,39
DATASET_01_2009_2017_CO,08/10/2009,10, ,28
DATASET_01_2009_2017_CO,08/10/2009,11, ,29
DATASET_01_2009_2017_CO,08/10/2009,12, ,24
DATASET_01_2009_2017_CO,08/10/2009,13, ,24
DATASET_01_2009_2017_CO,08/10/2009,14, ,25
DATASET_01_2009_2017_CO,08/10/2009,15, ,25
DATASET_01_2009_2017_CO,08/10/2009,16, ,27
DATASET_01_2009_2017_CO,08/10/2009,17, ,30
DATASET_01_2009_2017_CO,08/10/2009,18, ,30
DATASET_01_2009_2017_CO,08/10/2009,19, ,34
DATASET_01_2009_2017_CO,08/10/2009,20, ,33
DATASET_01_2009_2017_CO,08/10/2009,21, ,31
DATASET_01_2009_2017_CO,08/10/2009,22, ,27
DATASET_01_2009_2017_CO,08/10/2009,23, ,31
DATASET_01_2009_2017_CO,08/10/2009,24, ,22
DATASET_01_2009_2017_CO,09/10/2009,1, ,17
DATASET_01_2009_2017_CO,09/10/2009,2, ,18
DATASET_01_2009_2017_CO,09/10/2009,3, ,14
DATASET_01_2009_2017_CO,09/10/2009,4, ,16
DATASET_01_2009_2017_CO,09/10/2009,5, ,16
DATASET_01_2009_2017_CO,09/10/2009,6, ,16
DATASET_01_2009_2017_CO,09/10/2009,7, ,18
DATASET_01_2009_2017_CO,09/10/2009,8, ,20
DATASET_01_2009_2017_CO,09/10/2009,9, ,17
DATASET_01_2009_2017_CO,09/10/2009,10, ,15
DATASET_01_2009_2017_CO,09/10/2009,11, ,14
DATASET_01_2009_2017_CO,09/10/2009,12, ,13
DATASET_01_2009_2017_CO,12/10/2009,13, ,18
DATASET_01_2009_2017_CO,12/10/2009,14, ,17
DATASET_01_2009_2017_CO,12/10/2009,15, ,16
DATASET_01_2009_2017_CO,12/10/2009,16, ,16
DATASET_01_2009_2017_CO,12/10/2009,17, ,15
DATASET_01_2009_2017_CO,12/10/2009,18, ,17
DATASET_01_2009_2017_CO,12/10/2009,19, ,22
DATASET_01_2009_2017_CO,12/10/2009,20, ,29
DATASET_01_2009_2017_CO,12/10/2009,21, ,27
DATASET_01_2009_2017_CO,12/10/2009,22, ,26
DATASET_01_2009_2017_CO,12/10/2009,23, ,25
DATASET_01_2009_2017_CO,12/10/2009,24, ,22
DATASET_01_2009_2017_CO,13/10/2009,1, ,19
DATASET_01_2009_2017_CO,13/10/2009,2, ,15
DATASET_01_2009_2017_CO,13/10/2009,3, ,10
DATASET_01_2009_2017_CO,13/10/2009,4, ,9
DATASET_01_2009_2017_CO,13/10/2009,5, ,10
DATASET_01_2009_2017_CO,13/10/2009,6, ,12
DATASET_01_2009_2017_CO,13/10/2009,7, ,19
DATASET_01_2009_2017_CO,13/10/2009,8, ,19
DATASET_01_2009_2017_CO,13/10/2009,9, ,16
DATASET_01_2009_2017_CO,13/10/2009,10, ,18
DATASET_01_2009_2017_CO,13/10/2009,11, ,19
DATASET_01_2009_2017_CO,13/10/2009,12, ,28
DATASET_01_2009_2017_CO,13/10/2009,13, ,33
DATASET_01_2009_2017_CO,13/10/2009,14, ,29
DATASET_01_2009_2017_CO,13/10/2009,15, ,32
DATASET_01_2009_2017_CO,13/10/2009,16, ,36
DATASET_01_2009_2017_CO,13/10/2009,17, ,42
DATASET_01_2009_2017_CO,13/10/2009,18, ,55
DATASET_01_2009_2017_CO,13/10/2009,19, ,55
DATASET_01_2009_2017_CO,13/10/2009,20, ,46
DATASET_01_2009_2017_CO,13/10/2009,21, ,38
DATASET_01_2009_2017_CO,13/10/2009,22, ,33
DATASET_01_2009_2017_CO,13/10/2009,23, ,26
DATASET_01_2009_2017_CO,13/10/2009,24, ,28
DATASET_01_2009_2017_CO,14/10/2009,1, ,19
DATASET_01_2009_2017_CO,14/10/2009,2, ,16
DATASET_01_2009_2017_CO,14/10/2009,3, ,12
DATASET_01_2009_2017_CO,14/10/2009,4, ,14
DATASET_01_2009_2017_CO,14/10/2009,5, ,17
DATASET_01_2009_2017_CO,14/10/2009,6, ,18
DATASET_01_2009_2017_CO,14/10/2009,7, ,27
DATASET_01_2009_2017_CO,14/10/2009,8, ,43
DATASET_01_2009_2017_CO,14/10/2009,9, ,49
DATASET_01_2009_2017_CO,14/10/2009,10, ,51
DATASET_01_2009_2017_CO,14/10/2009,11, ,42
DATASET_01_2009_2017_CO,14/10/2009,12, ,46
DATASET_01_2009_2017_CO,14/10/2009,13, ,47
DATASET_01_2009_2017_CO,14/10/2009,14, ,41
DATASET_01_2009_2017_CO,14/10/2009,15, ,29
DATASET_01_2009_2017_CO,14/10/2009,16, ,27
DATASET_01_2009_2017_CO,14/10/2009,17, ,28
DATASET_01_2009_2017_CO,14/10/2009,18, ,29
DATASET_01_2009_2017_CO,14/10/2009,19, ,32
DATASET_01_2009_2017_CO,14/10/2009,20, ,28
DATASET_01_2009_2017_CO,14/10/2009,21, ,30
DATASET_01_2009_2017_CO,14/10/2009,22, ,31
DATASET_01_2009_2017_CO,14/10/2009,23, ,27
DATASET_01_2009_2017_CO,14/10/2009,24, ,24
DATASET_01_2009_2017_CO,15/10/2009,1, ,21
DATASET_01_2009_2017_CO,15/10/2009,2, ,18
DATASET_01_2009_2017_CO,15/10/2009,3, ,14
DATASET_01_2009_2017_CO,15/10/2009,4, ,11
DATASET_01_2009_2017_CO,15/10/2009,5, ,15
DATASET_01_2009_2017_CO,15/10/2009,6, ,16
DATASET_01_2009_2017_CO,15/10/2009,7, ,19
DATASET_01_2009_2017_CO,15/10/2009,8, ,20
DATASET_01_2009_2017_CO,15/10/2009,9, ,20
DATASET_01_2009_2017_CO,15/10/2009,10, ,23
DATASET_01_2009_2017_CO,15/10/2009,11, ,21
DATASET_01_2009_2017_CO,15/10/2009,12, ,18
DATASET_01_2009_2017_CO,15/10/2009,13, ,20
DATASET_01_2009_2017_CO,15/10/2009,14, ,18
DATASET_01_2009_2017_CO,15/10/2009,15, ,19
DATASET_01_2009_2017_CO,15/10/2009,16, ,22
DATASET_01_2009_2017_CO,15/10/2009,17, ,26
DATASET_01_2009_2017_CO,15/10/2009,18, ,28
DATASET_01_2009_2017_CO,15/10/2009,19, ,33
DATASET_01_2009_2017_CO,15/10/2009,20, ,40
DATASET_01_2009_2017_CO,15/10/2009,21, ,40
DATASET_01_2009_2017_CO,15/10/2009,22, ,28
DATASET_01_2009_2017_CO,15/10/2009,23, ,22
DATASET_01_2009_2017_CO,15/10/2009,24, ,18
DATASET_01_2009_2017_CO,16/10/2009,1, ,15
DATASET_01_2009_2017_CO,16/10/2009,2, ,12
DATASET_01_2009_2017_CO,16/10/2009,3, ,11
DATASET_01_2009_2017_CO,16/10/2009,4, ,11
DATASET_01_2009_2017_CO,16/10/2009,5, ,10
DATASET_01_2009_2017_CO,16/10/2009,6, ,12
