DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,01/10/2009,14, , 
DATASET_01_2009_2017_PA,01/10/2009,15,1.43, 
DATASET_01_2009_2017_PA,01/10/2009,16,1.49, 
DATASET_01_2009_2017_PA,01/10/2009,17,1.53, 
DATASET_01_2009_2017_PA,01/10/2009,18,1.54, 
DATASET_01_2009_2017_PA,01/10/2009,19,1.54, 
DATASET_01_2009_2017_PA,01/10/2009,20,1.53, 
DATASET_01_2009_2017_PA,01/10/2009,21,1.34, 
DATASET_01_2009_2017_PA,01/10/2009,22,1.16, 
DATASET_01_2009_2017_PA,01/10/2009,23,1.19, 
DATASET_01_2009_2017_PA,01/10/2009,24,1.26, 
DATASET_01_2009_2017_PA,02/10/2009,1,1.31, 
DATASET_01_2009_2017_PA,02/10/2009,2,1.3, 
DATASET_01_2009_2017_PA,02/10/2009,3,1.29, 
DATASET_01_2009_2017_PA,02/10/2009,4,1.28, 
DATASET_01_2009_2017_PA,02/10/2009,5,1.23, 
DATASET_01_2009_2017_PA,02/10/2009,6,1.15, 
DATASET_01_2009_2017_PA,02/10/2009,7,1.03, 
DATASET_01_2009_2017_PA,02/10/2009,8,0.93, 
DATASET_01_2009_2017_PA,02/10/2009,9,0.89, 
DATASET_01_2009_2017_PA,02/10/2009,10,0.91, 
DATASET_01_2009_2017_PA,02/10/2009,11,0.9, 
DATASET_01_2009_2017_PA,02/10/2009,12,0.88, 
DATASET_01_2009_2017_PA,04/10/2009,13,0.49, 
DATASET_01_2009_2017_PA,04/10/2009,14,0.53, 
DATASET_01_2009_2017_PA,04/10/2009,15,0.58, 
DATASET_01_2009_2017_PA,04/10/2009,16,0.64, 
DATASET_01_2009_2017_PA,04/10/2009,17,0.68, 
DATASET_01_2009_2017_PA,04/10/2009,18,0.73, 
DATASET_01_2009_2017_PA,04/10/2009,19,0.79, 
DATASET_01_2009_2017_PA,04/10/2009,20,0.88, 
DATASET_01_2009_2017_PA,04/10/2009,21,0.96, 
DATASET_01_2009_2017_PA,04/10/2009,22,1.03, 
DATASET_01_2009_2017_PA,04/10/2009,23,1.06, 
DATASET_01_2009_2017_PA,04/10/2009,24,1.08, 
DATASET_01_2009_2017_PA,05/10/2009,1,1.1, 
DATASET_01_2009_2017_PA,05/10/2009,2,1.1, 
DATASET_01_2009_2017_PA,05/10/2009,3,1.08, 
DATASET_01_2009_2017_PA,05/10/2009,4,1.01, 
DATASET_01_2009_2017_PA,05/10/2009,5,0.93, 
DATASET_01_2009_2017_PA,05/10/2009,6,0.84, 
DATASET_01_2009_2017_PA,05/10/2009,7,0.78, 
DATASET_01_2009_2017_PA,05/10/2009,8,0.74, 
DATASET_01_2009_2017_PA,05/10/2009,9,0.71, 
DATASET_01_2009_2017_PA,05/10/2009,10,0.73, 
DATASET_01_2009_2017_PA,05/10/2009,11,0.79, 
DATASET_01_2009_2017_PA,05/10/2009,12,0.85, 
DATASET_01_2009_2017_PA,05/10/2009,13,0.91, 
DATASET_01_2009_2017_PA,05/10/2009,14,1, 
DATASET_01_2009_2017_PA,05/10/2009,15,1.08, 
DATASET_01_2009_2017_PA,05/10/2009,16,1.11, 
DATASET_01_2009_2017_PA,05/10/2009,17,1.19, 
DATASET_01_2009_2017_PA,05/10/2009,18,1.25, 
DATASET_01_2009_2017_PA,05/10/2009,19,1.29, 
DATASET_01_2009_2017_PA,05/10/2009,20,1.33, 
DATASET_01_2009_2017_PA,05/10/2009,21,1.31, 
DATASET_01_2009_2017_PA,05/10/2009,22,1.29, 
DATASET_01_2009_2017_PA,05/10/2009,23,1.28, 
DATASET_01_2009_2017_PA,05/10/2009,24,1.28, 
DATASET_01_2009_2017_PA,06/10/2009,1,1.2, 
DATASET_01_2009_2017_PA,06/10/2009,2,1.1, 
DATASET_01_2009_2017_PA,06/10/2009,3,0.98, 
DATASET_01_2009_2017_PA,06/10/2009,4,0.85, 
