DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2
DATASET_02_2012,"2012-01-01","12","<LD","1.0","4.9"
DATASET_02_2012,"2012-01-01","13","<LD","0.5","3.9"
DATASET_02_2012,"2012-01-01","14","<LD","0.5","2.7"
DATASET_02_2012,"2012-06-04","08","0.13","7.7","6.9"
DATASET_02_2012,"2012-06-04","09","---","---","---"
DATASET_02_2012,"2012-06-04","12:00:00 AM","---","---","---"
DATASET_02_2012,"2012-06-04","12:00:00 AM","---","---","---"
DATASET_02_2012,"2012-06-04","12","---","---","---"
DATASET_02_2012,"2012-06-04","13","---","---","---"
DATASET_02_2012,"2012-06-04","14","0.28","2.1","3.7"
DATASET_02_2012,"2012-06-04","15","0.24","3.1","2.8"
DATASET_02_2012,"2012-06-26","10","0.24","5.0","7.1"
DATASET_02_2012,"2012-06-26","11","","---","---"
DATASET_02_2012,"2012-06-26","12:00:00 AM","---","---","---"
DATASET_02_2012,"2012-06-26","12:00:00 AM","---","---","---"
DATASET_02_2012,"2012-06-26","14","---","---","---"
DATASET_02_2012,"2012-06-26","15","0.41","4.3","10.1"
DATASET_02_2012,"2012-07-17","08","0.51","17.0","17.2"
DATASET_02_2012,"2012-07-17","09","H","H","H"
DATASET_02_2012,"2012-07-17","10","0.41","10.4","10.9"
DATASET_02_2012,"2012-09-17","01","<LD","0.2","7.7"
DATASET_02_2012,"2012-09-17","02","<LD","0.4","10.3"
DATASET_02_2012,"2012-09-17","03","<LD","0.3","7.6"
DATASET_02_2012,"2012-09-17","04","0.05","0.4","6.0"
DATASET_02_2012,"2012-09-17","05","<LD","0.4","7.0"
DATASET_02_2012,"2012-09-17","06","<LD","1.1","7.3"
DATASET_02_2012,"2012-09-17","07","<LD","22.3","17.5"
DATASET_02_2012,"2012-09-17","08","0.10","27.1","31.8"
DATASET_02_2012,"2012-09-17","09","<LD","14.7","14.4"
DATASET_02_2012,"2012-09-17","10","<LD","4.4","7.8"
DATASET_02_2012,"2012-09-17","11","<LD","20.5","12.6"
DATASET_02_2012,"2012-09-17","12","<LD","9.1","10.7"
DATASET_02_2012,"2012-10-08","03","<LD","0.2","2.7"
DATASET_02_2012,"2012-10-08","04","<LD","0.2","1.9"
DATASET_02_2012,"2012-10-08","05","<LD","0.2","2.7"
DATASET_02_2012,"2012-10-08","06","<LD","7.9","11.3"
DATASET_02_2012,"2012-10-08","07","<LD","0.2","2.7"
DATASET_02_2012,"2012-10-08","08","<LD","0.2","2.1"
DATASET_02_2012,"2012-10-08","09","<LD","0.3","2.2"
DATASET_02_2012,"2012-11-09","14","---","---","---"
DATASET_02_2012,"2012-11-09","15","---","---","---"
DATASET_02_2012,"2012-11-09","16","---","---","---"
DATASET_02_2012,"2012-11-09","17","---","---","---"
DATASET_02_2012,"2012-11-09","18","---","---","---"
DATASET_02_2012,"2012-11-09","19","---","---","---"
DATASET_02_2012,"2012-11-09","20","0.12","0.3","5.9"
DATASET_02_2012,"2012-11-09","21","0.08","0.4","5.6"
DATASET_02_2012,"2012-11-09","22","0.08","1.1","7.3"
DATASET_02_2012,"2012-11-09","23","0.07","0.8","8.3"
DATASET_02_2012,"2012-11-10","00","0.07","0.5","7.3"
DATASET_02_2012,"2012-11-10","01","0.08","0.5","7.7"
