DATASET,FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc
DATASET_03_2016,05/22/2016,23:45:00,17.24,7.7,10.05,104.89
DATASET_03_2016,05/23/2016,00:00:00,17.21,7.68,9.94,103.72
DATASET_03_2016,05/23/2016,00:15:00,17.2,7.67,9.88,103.08
DATASET_03_2016,05/23/2016,00:30:00,17.19,7.65,9.83,102.54
DATASET_03_2016,05/23/2016,00:45:00,17.18,7.65,9.84,102.6
DATASET_03_2016,05/23/2016,01:00:00,17.17,7.64,9.81,102.25
DATASET_03_2016,05/23/2016,01:15:00,17.15,7.63,9.7,101.02
DATASET_03_2016,05/23/2016,01:30:00,17.13,7.63,9.77,101.78
DATASET_03_2016,05/23/2016,01:45:00,17.13,7.6,9.62,100.15
DATASET_03_2016,05/23/2016,02:00:00,17.11,7.59,9.51,99.03
DATASET_03_2016,05/23/2016,02:15:00,17.12,7.56,9.46,98.48
DATASET_03_2016,05/23/2016,02:30:00,17.1,7.55,9.4,97.85
DATASET_03_2016,05/23/2016,02:45:00,17.1,7.6,9.62,100.09
DATASET_03_2016,05/23/2016,03:00:00,17.08,7.6,9.6,99.86
DATASET_03_2016,05/23/2016,03:15:00,17.07,7.59,9.58,99.67
DATASET_03_2016,05/23/2016,03:30:00,17.06,7.59,9.54,99.26
DATASET_03_2016,05/23/2016,03:45:00,17.04,7.55,9.31,96.75
DATASET_03_2016,05/23/2016,04:00:00,17.04,7.54,9.32,96.88
DATASET_03_2016,05/23/2016,04:15:00,17.02,7.54,9.3,96.65
DATASET_03_2016,05/23/2016,04:30:00,17.02,7.54,9.35,97.19
DATASET_03_2016,05/23/2016,04:45:00,17.02,7.56,9.43,98
DATASET_03_2016,05/23/2016,05:00:00,17,7.53,9.3,96.58
DATASET_03_2016,05/23/2016,05:15:00,16.99,7.54,9.39,97.5
DATASET_03_2016,05/23/2016,05:30:00,16.99,7.58,9.59,99.6
DATASET_03_2016,05/23/2016,05:45:00,16.98,7.56,9.42,97.82
DATASET_03_2016,05/23/2016,06:00:00,16.98,7.56,9.5,98.62
DATASET_03_2016,05/23/2016,06:15:00,16.97,7.56,9.48,98.4
DATASET_03_2016,05/23/2016,06:30:00,16.98,7.55,9.44,98.02
DATASET_03_2016,05/23/2016,06:45:00,16.98,7.57,9.51,98.73
DATASET_03_2016,05/23/2016,07:00:00,16.98,7.58,9.59,99.53
DATASET_03_2016,05/23/2016,07:15:00,16.99,7.6,9.68,100.5
DATASET_03_2016,05/23/2016,07:30:00,17,7.61,9.71,100.88
DATASET_03_2016,05/23/2016,07:45:00,17.02,7.62,9.75,101.35
DATASET_03_2016,05/23/2016,08:00:00,17.05,7.64,9.83,102.24
DATASET_03_2016,05/23/2016,08:15:00,17.03,7.63,9.76,101.42
DATASET_03_2016,05/23/2016,08:30:00,17.08,7.64,9.83,102.23
DATASET_03_2016,05/23/2016,08:45:00,17.04,7.61,9.69,100.76
DATASET_03_2016,05/23/2016,09:00:00,17.06,7.63,9.82,102.19
DATASET_03_2016,05/23/2016,09:15:00,17.05,7.69,10.03,104.3
DATASET_03_2016,05/23/2016,09:30:00,17.2,7.68,9.98,104.09
DATASET_03_2016,05/23/2016,09:45:00,17.26,7.7,10,104.49
DATASET_03_2016,05/23/2016,10:00:00,17.38,7.64,9.78,102.46
DATASET_03_2016,05/23/2016,10:15:00,17.67,7.67,9.88,104.03
DATASET_03_2016,05/23/2016,10:30:00,18.16,7.69,9.91,105.47
DATASET_03_2016,05/23/2016,10:45:00,18.02,7.72,10.08,106.88
DATASET_03_2016,05/23/2016,11:00:00,17.68,7.81,10.32,108.7
DATASET_03_2016,05/23/2016,11:15:00,17.66,7.8,10.3,108.45
DATASET_03_2016,05/23/2016,11:30:00,17.69,7.81,10.31,108.66
DATASET_03_2016,05/23/2016,11:45:00,17.86,7.85,10.47,110.7
DATASET_03_2016,05/23/2016,12:00:00,17.97,7.85,10.45,110.73
DATASET_03_2016,05/23/2016,12:15:00,17.68,7.9,10.61,111.8
DATASET_03_2016,05/23/2016,12:30:00,17.75,7.93,10.66,112.44
DATASET_03_2016,05/23/2016,12:45:00,17.6,7.9,10.59,111.43
DATASET_03_2016,05/23/2016,13:00:00,17.85,7.91,10.63,112.35
DATASET_03_2016,05/23/2016,13:15:00,18.03,7.9,10.57,112.19
DATASET_03_2016,05/23/2016,13:30:00,17.96,7.93,10.65,112.83
DATASET_03_2016,05/23/2016,13:45:00,18.26,7.92,10.62,113.18
DATASET_03_2016,05/23/2016,14:00:00,18.48,7.9,10.58,113.33
DATASET_03_2016,05/23/2016,14:15:00,18.62,7.89,10.55,113.28
DATASET_03_2016,05/23/2016,14:30:00,18.44,7.92,10.63,113.78
DATASET_03_2016,05/23/2016,14:45:00,18.48,7.91,10.52,112.69
DATASET_03_2016,05/23/2016,15:00:00,18.64,7.98,10.76,115.57
DATASET_03_2016,05/23/2016,15:15:00,18.79,8.01,10.76,115.93
DATASET_03_2016,05/23/2016,15:30:00,18.89,8,10.75,116.1
DATASET_03_2016,05/23/2016,15:45:00,18.9,8.01,10.79,116.46
DATASET_03_2016,05/23/2016,16:00:00,18.92,8,10.71,115.75
DATASET_03_2016,05/23/2016,16:15:00,18.88,8.01,10.75,115.99
DATASET_03_2016,05/23/2016,16:30:00,18.84,8.02,10.77,116.22
DATASET_03_2016,05/23/2016,16:45:00,18.85,8.04,10.8,116.53
DATASET_03_2016,05/23/2016,17:00:00,18.73,8.06,10.85,116.77
DATASET_03_2016,05/23/2016,17:15:00,18.52,8.02,10.77,115.39
DATASET_03_2016,05/23/2016,17:30:00,18.58,7.97,10.66,114.34
DATASET_03_2016,05/23/2016,17:45:00,18.43,7.96,10.63,113.68
DATASET_03_2016,05/23/2016,18:00:00,18.21,7.85,10.33,109.98
DATASET_03_2016,05/23/2016,18:15:00,18.14,7.87,10.41,110.65
DATASET_03_2016,05/23/2016,18:30:00,18.29,7.88,10.43,111.29
DATASET_03_2016,05/23/2016,18:45:00,18.28,7.88,10.44,111.32
DATASET_03_2016,05/23/2016,19:00:00,18.22,7.88,10.45,111.32
DATASET_03_2016,05/23/2016,19:15:00,18.15,7.85,10.37,110.29
DATASET_03_2016,05/23/2016,19:30:00,18.15,7.84,10.36,110.21
DATASET_03_2016,05/23/2016,19:45:00,18.05,7.84,10.32,109.56
DATASET_03_2016,05/23/2016,20:00:00,18.07,7.89,10.5,111.44
DATASET_03_2016,05/23/2016,20:15:00,18.03,7.86,10.4,110.28
DATASET_03_2016,05/23/2016,20:30:00,17.99,7.8,10.2,108.16
DATASET_03_2016,05/23/2016,20:45:00,17.91,7.74,10.04,106.23
DATASET_03_2016,05/23/2016,21:00:00,17.87,7.72,9.92,104.89
DATASET_03_2016,05/23/2016,21:15:00,17.68,7.69,9.86,103.92
DATASET_03_2016,05/23/2016,21:30:00,17.66,7.68,9.88,104
DATASET_03_2016,05/23/2016,21:45:00,17.72,7.71,9.96,105.05
DATASET_03_2016,05/23/2016,22:00:00,17.78,7.69,9.86,104.03
DATASET_03_2016,05/23/2016,22:15:00,17.82,7.7,9.88,104.35
DATASET_03_2016,05/23/2016,22:30:00,17.8,7.69,9.87,104.21
DATASET_03_2016,05/23/2016,22:45:00,17.73,7.68,9.82,103.5
DATASET_03_2016,05/23/2016,23:00:00,17.6,7.65,9.77,102.77
DATASET_03_2016,05/23/2016,23:15:00,17.67,7.62,9.6,101.06
DATASET_03_2016,05/23/2016,23:30:00,17.64,7.63,9.65,101.51
DATASET_03_2016,05/23/2016,23:45:00,17.65,7.63,9.64,101.54
DATASET_03_2016,05/24/2016,00:00:00,17.7,7.61,9.64,101.61
DATASET_03_2016,05/24/2016,00:15:00,17.86,7.61,9.46,100.08
DATASET_03_2016,05/24/2016,00:30:00,17.79,7.63,9.64,101.8
DATASET_03_2016,05/24/2016,00:45:00,17.85,7.64,9.65,101.98
DATASET_03_2016,05/24/2016,01:00:00,17.81,7.64,9.68,102.21
DATASET_03_2016,05/24/2016,01:15:00,17.78,7.64,9.67,102.1
DATASET_03_2016,05/24/2016,01:30:00,17.81,7.62,9.57,101.12
