FECHA,HORA,AMPM,WATERQ_Cond25,DATASET_04_GG,WATERQ_Cond25
03/03/2017,09:41:00,a.m.,108.47,DATASET_04_GG,WATERQ_Cond25
05/07/2012,02:12:00,p.m.,543.3,DATASET_04_GG,WATERQ_Cond25
08/03/2012,01:34:00,p.m.,82.6,DATASET_04_GG,WATERQ_Cond25
08/11/2011,11:41:00,a.m.,94.2,DATASET_04_GG,WATERQ_Cond25
08/11/2012,05:41:00,p.m.,82.523,DATASET_04_GG,WATERQ_Cond25
10/11/2016,08:15:00,a.m.,62.96,DATASET_04_GG,WATERQ_Cond25
11/07/2013,02:00:00,p.m.,490.33,DATASET_04_GG,WATERQ_Cond25
12/01/2017,09:48:00,a.m.,118.33,DATASET_04_GG,WATERQ_Cond25
12/07/2011,04:30:00,p.m.,135.8,DATASET_04_GG,WATERQ_Cond25
12/11/2013,04:48:00,p.m.,106.23,DATASET_04_GG,WATERQ_Cond25
13/07/2016,11:15:00,a.m.,100.7,DATASET_04_GG,WATERQ_Cond25
22/05/2012,02:00:00,p.m.,136.8,DATASET_04_GG,WATERQ_Cond25
