FECHA,HORA,AMPM,WATERQ_OD,DATASET_04_GG,WATERQ_OD
03/03/2017,09:41:00,a.m.,7,DATASET_04_GG,WATERQ_OD
05/07/2012,02:12:00,p.m.,7.3,DATASET_04_GG,WATERQ_OD
08/03/2012,01:34:00,p.m.,7.8,DATASET_04_GG,WATERQ_OD
08/11/2011,11:41:00,a.m.,4.9,DATASET_04_GG,WATERQ_OD
08/11/2012,05:41:00,p.m.,6.8,DATASET_04_GG,WATERQ_OD
10/11/2016,08:15:00,a.m.,7.1,DATASET_04_GG,WATERQ_OD
11/07/2013,02:00:00,p.m.,10.9,DATASET_04_GG,WATERQ_OD
12/07/2011,04:30:00,p.m.,9.9,DATASET_04_GG,WATERQ_OD
12/11/2013,04:48:00,p.m.,3.8,DATASET_04_GG,WATERQ_OD
22/05/2012,02:00:00,p.m.,9.9,DATASET_04_GG,WATERQ_OD
