FECHA,HORA,AMPM,WATERQ_Cond25,DATASET_04_PR,WATERQ_Cond25
08/02/2012,05:25:00,p.m.,136.211,DATASET_04_PR,WATERQ_Cond25
08/02/2012,05:41:00,p.m.,135.949,DATASET_04_PR,WATERQ_Cond25
09/08/2011,05:30:00,p.m.,156.195,DATASET_04_PR,WATERQ_Cond25
09/08/2011,05:44:00,p.m.,155.971,DATASET_04_PR,WATERQ_Cond25
10/04/2014,03:40:00,p.m.,209.33,DATASET_04_PR,WATERQ_Cond25
10/04/2014,03:45:00,p.m.,238.44,DATASET_04_PR,WATERQ_Cond25
11/10/2012,03:59:00,p.m.,275.33,DATASET_04_PR,WATERQ_Cond25
11/10/2012,04:08:00,p.m.,275.289,DATASET_04_PR,WATERQ_Cond25
11/12/2013,04:19:00,p.m.,168.7,DATASET_04_PR,WATERQ_Cond25
12/02/2014,02:19:00,p.m.,249.27,DATASET_04_PR,WATERQ_Cond25
12/02/2014,03:10:00,p.m.,240.43,DATASET_04_PR,WATERQ_Cond25
12/10/2011,06:24:00,p.m.,202,DATASET_04_PR,WATERQ_Cond25
12/10/2011,06:36:00,p.m.,201.28,DATASET_04_PR,WATERQ_Cond25
14/02/2017,06:28:00,p.m.,269.23,DATASET_04_PR,WATERQ_Cond25
14/08/2013,03:58:00,p.m.,114.44,DATASET_04_PR,WATERQ_Cond25
15/08/2012,04:39:00,p.m.,160.14,DATASET_04_PR,WATERQ_Cond25
20/08/2014,02:55:00,p.m.,127.558,DATASET_04_PR,WATERQ_Cond25
28/06/2012,05:02:00,p.m.,156.963,DATASET_04_PR,WATERQ_Cond25
28/06/2012,05:12:00,p.m.,156.213,DATASET_04_PR,WATERQ_Cond25
