FECHA,HORA,AMPM,WATERQ_OD,DATASET_04_PR,WATERQ_OD
08/02/2012,05:25:00,p.m.,7.6,DATASET_04_PR,WATERQ_OD
08/02/2012,05:41:00,p.m.,7.6,DATASET_04_PR,WATERQ_OD
09/08/2011,05:30:00,p.m.,9.3,DATASET_04_PR,WATERQ_OD
09/08/2011,05:44:00,p.m.,9.1,DATASET_04_PR,WATERQ_OD
10/04/2014,03:40:00,p.m.,7.7,DATASET_04_PR,WATERQ_OD
10/04/2014,03:45:00,p.m.,8.1,DATASET_04_PR,WATERQ_OD
11/10/2012,03:59:00,p.m.,8.3,DATASET_04_PR,WATERQ_OD
11/10/2012,04:08:00,p.m.,8.1,DATASET_04_PR,WATERQ_OD
11/12/2013,04:19:00,p.m.,8,DATASET_04_PR,WATERQ_OD
12/02/2014,02:19:00,p.m.,7.5,DATASET_04_PR,WATERQ_OD
12/02/2014,03:10:00,p.m.,8.1,DATASET_04_PR,WATERQ_OD
12/10/2011,06:24:00,p.m.,9.6,DATASET_04_PR,WATERQ_OD
12/10/2011,06:36:00,p.m.,9.4,DATASET_04_PR,WATERQ_OD
14/02/2017,06:28:00,p.m.,7.3,DATASET_04_PR,WATERQ_OD
14/08/2013,03:58:00,p.m.,9.5,DATASET_04_PR,WATERQ_OD
15/08/2012,04:39:00,p.m.,9.5,DATASET_04_PR,WATERQ_OD
20/08/2014,02:55:00,p.m.,8,DATASET_04_PR,WATERQ_OD
28/06/2012,05:02:00,p.m.,9.1,DATASET_04_PR,WATERQ_OD
28/06/2012,05:12:00,p.m.,9.5,DATASET_04_PR,WATERQ_OD
