FECHA,AIRQ_CO2,DATASET
1850,,DATASET_05_1850_2012_ARG
1851,,DATASET_05_1850_2012_ARG
1852,,DATASET_05_1850_2012_ARG
1853,,DATASET_05_1850_2012_ARG
1854,,DATASET_05_1850_2012_ARG
1855,,DATASET_05_1850_2012_ARG
1856,,DATASET_05_1850_2012_ARG
1857,,DATASET_05_1850_2012_ARG
1858,,DATASET_05_1850_2012_ARG
1859,,DATASET_05_1850_2012_ARG
1860,,DATASET_05_1850_2012_ARG
1861,,DATASET_05_1850_2012_ARG
1862,,DATASET_05_1850_2012_ARG
1863,,DATASET_05_1850_2012_ARG
1864,,DATASET_05_1850_2012_ARG
1865,,DATASET_05_1850_2012_ARG
1866,,DATASET_05_1850_2012_ARG
1867,,DATASET_05_1850_2012_ARG
1868,,DATASET_05_1850_2012_ARG
1869,,DATASET_05_1850_2012_ARG
1870,,DATASET_05_1850_2012_ARG
1871,,DATASET_05_1850_2012_ARG
1872,,DATASET_05_1850_2012_ARG
1873,,DATASET_05_1850_2012_ARG
1874,,DATASET_05_1850_2012_ARG
1875,,DATASET_05_1850_2012_ARG
1876,,DATASET_05_1850_2012_ARG
1877,,DATASET_05_1850_2012_ARG
1878,,DATASET_05_1850_2012_ARG
1879,,DATASET_05_1850_2012_ARG
1880,,DATASET_05_1850_2012_ARG
1881,,DATASET_05_1850_2012_ARG
1882,,DATASET_05_1850_2012_ARG
1883,,DATASET_05_1850_2012_ARG
1884,,DATASET_05_1850_2012_ARG
1885,,DATASET_05_1850_2012_ARG
1886,,DATASET_05_1850_2012_ARG
1887,1.0845,DATASET_05_1850_2012_ARG
1888,0.8904,DATASET_05_1850_2012_ARG
1889,1.7551,DATASET_05_1850_2012_ARG
1890,1.3703,DATASET_05_1850_2012_ARG
1891,0.938,DATASET_05_1850_2012_ARG
1892,1.385,DATASET_05_1850_2012_ARG
1893,1.5535,DATASET_05_1850_2012_ARG
1894,1.9932,DATASET_05_1850_2012_ARG
1895,2.2644,DATASET_05_1850_2012_ARG
1896,2.3047,DATASET_05_1850_2012_ARG
1897,2.0812,DATASET_05_1850_2012_ARG
1898,2.3486,DATASET_05_1850_2012_ARG
1899,2.9202,DATASET_05_1850_2012_ARG
1900,2.0702,DATASET_05_1850_2012_ARG
1901,2.4915,DATASET_05_1850_2012_ARG
1902,2.814,DATASET_05_1850_2012_ARG
1903,2.8616,DATASET_05_1850_2012_ARG
1904,3.7959,DATASET_05_1850_2012_ARG
1905,3.9828,DATASET_05_1850_2012_ARG
1906,6.2544,DATASET_05_1850_2012_ARG
1907,6.2544,DATASET_05_1850_2012_ARG
1908,7.6175,DATASET_05_1850_2012_ARG
1909,5.9393,DATASET_05_1850_2012_ARG
1910,8.9108,DATASET_05_1850_2012_ARG
1911,9.9441,DATASET_05_1850_2012_ARG
1912,9.4788,DATASET_05_1850_2012_ARG
1913,10.142,DATASET_05_1850_2012_ARG
1914,8.669,DATASET_05_1850_2012_ARG
1915,6.936,DATASET_05_1850_2012_ARG
1916,4.983,DATASET_05_1850_2012_ARG
1917,2.2314,DATASET_05_1850_2012_ARG
1918,2.5208,DATASET_05_1850_2012_ARG
1919,3.7263,DATASET_05_1850_2012_ARG
1920,5.8917,DATASET_05_1850_2012_ARG
1921,5.54,DATASET_05_1850_2012_ARG
1922,7.3024,DATASET_05_1850_2012_ARG
1923,8.4419,DATASET_05_1850_2012_ARG
1924,10.959,DATASET_05_1850_2012_ARG
1925,11.2375,DATASET_05_1850_2012_ARG
1926,11.2558,DATASET_05_1850_2012_ARG
1927,13.3699,DATASET_05_1850_2012_ARG
1928,12.7397,DATASET_05_1850_2012_ARG
1929,13.1318,DATASET_05_1850_2012_ARG
