FECHA,AIRQ_CO2,DATASET
1971,0.37,DATASET_05_1971_2012_BOL
1972,0.4,DATASET_05_1971_2012_BOL
1973,0.45,DATASET_05_1971_2012_BOL
1974,0.5,DATASET_05_1971_2012_BOL
1975,0.54,DATASET_05_1971_2012_BOL
1976,0.58,DATASET_05_1971_2012_BOL
1977,0.61,DATASET_05_1971_2012_BOL
1978,0.64,DATASET_05_1971_2012_BOL
1979,0.63,DATASET_05_1971_2012_BOL
1980,0.67,DATASET_05_1971_2012_BOL
1981,0.72,DATASET_05_1971_2012_BOL
1982,0.72,DATASET_05_1971_2012_BOL
1983,0.79,DATASET_05_1971_2012_BOL
1984,0.78,DATASET_05_1971_2012_BOL
1985,0.78,DATASET_05_1971_2012_BOL
1986,0.69,DATASET_05_1971_2012_BOL
1987,0.71,DATASET_05_1971_2012_BOL
1988,0.66,DATASET_05_1971_2012_BOL
1989,0.67,DATASET_05_1971_2012_BOL
1990,0.63,DATASET_05_1971_2012_BOL
1991,0.66,DATASET_05_1971_2012_BOL
1992,0.71,DATASET_05_1971_2012_BOL
1993,0.66,DATASET_05_1971_2012_BOL
1994,0.71,DATASET_05_1971_2012_BOL
1995,0.77,DATASET_05_1971_2012_BOL
1996,0.82,DATASET_05_1971_2012_BOL
1997,0.95,DATASET_05_1971_2012_BOL
1998,0.97,DATASET_05_1971_2012_BOL
1999,0.97,DATASET_05_1971_2012_BOL
2000,1.42,DATASET_05_1971_2012_BOL
2001,1.45,DATASET_05_1971_2012_BOL
2002,1.53,DATASET_05_1971_2012_BOL
2003,1.63,DATASET_05_1971_2012_BOL
2004,1.99,DATASET_05_1971_2012_BOL
2005,1.99,DATASET_05_1971_2012_BOL
2006,2.22,DATASET_05_1971_2012_BOL
2007,2.27,DATASET_05_1971_2012_BOL
2008,2.47,DATASET_05_1971_2012_BOL
2009,2.4,DATASET_05_1971_2012_BOL
2010,3.01,DATASET_05_1971_2012_BOL
2011,3.22,DATASET_05_1971_2012_BOL
2012,3.55,DATASET_05_1971_2012_BOL
