FECHA,AIRQ_CO2,DATASET
1990,1236.426076,DATASET_05_1990_2012_BRA
1991,1236.581636,DATASET_05_1990_2012_BRA
1992,1241.927654,DATASET_05_1990_2012_BRA
1993,1251.206486,DATASET_05_1990_2012_BRA
1994,1262.070994,DATASET_05_1990_2012_BRA
1995,1282.654952,DATASET_05_1990_2012_BRA
1996,1307.40927,DATASET_05_1990_2012_BRA
1997,1329.887404,DATASET_05_1990_2012_BRA
1998,1341.879918,DATASET_05_1990_2012_BRA
1999,1355.115108,DATASET_05_1990_2012_BRA
2000,1369.762318,DATASET_05_1990_2012_BRA
2001,1520.941206,DATASET_05_1990_2012_BRA
2002,1521.330668,DATASET_05_1990_2012_BRA
2003,1514.58372,DATASET_05_1990_2012_BRA
2004,1534.1937,DATASET_05_1990_2012_BRA
2005,1542.059866,DATASET_05_1990_2012_BRA
2006,1135.522552,DATASET_05_1990_2012_BRA
2007,1154.215244,DATASET_05_1990_2012_BRA
2008,1178.280722,DATASET_05_1990_2012_BRA
2009,1158.334332,DATASET_05_1990_2012_BRA
2010,1211.8423,DATASET_05_1990_2012_BRA
2011,1234.081278,DATASET_05_1990_2012_BRA
2012,1270.209522,DATASET_05_1990_2012_BRA
