FECHA,AIRQ_CO2,DATASET
1990,37.151092,DATASET_05_1990_2012_CHI
1991,18.372384,DATASET_05_1990_2012_CHI
1992,20.6232,DATASET_05_1990_2012_CHI
1993,21.320924,DATASET_05_1990_2012_CHI
1994,25.081638,DATASET_05_1990_2012_CHI
1995,27.80464,DATASET_05_1990_2012_CHI
1996,34.288556,DATASET_05_1990_2012_CHI
1997,41.246012,DATASET_05_1990_2012_CHI
1998,42.788966,DATASET_05_1990_2012_CHI
1999,45.800012,DATASET_05_1990_2012_CHI
2000,41.424456,DATASET_05_1990_2012_CHI
2001,44.857342,DATASET_05_1990_2012_CHI
2002,45.868954,DATASET_05_1990_2012_CHI
2003,47.848732,DATASET_05_1990_2012_CHI
2004,52.685848,DATASET_05_1990_2012_CHI
2005,53.244116,DATASET_05_1990_2012_CHI
2006,54.600036,DATASET_05_1990_2012_CHI
2007,60.561536,DATASET_05_1990_2012_CHI
2008,63.058986,DATASET_05_1990_2012_CHI
2009,59.943658,DATASET_05_1990_2012_CHI
2010,64.422774,DATASET_05_1990_2012_CHI
2011,70.966436,DATASET_05_1990_2012_CHI
2012,72.71353573,DATASET_05_1990_2012_CHI
